,time,action,posX,posY,press,tilt,orient,calPosY,date
1999933,4820426,0,434.5976,686.6229,0.13675214,0.50442576,-2.2399445,927.6229,2020-10-20
1999934,4820426,2,434.5976,686.6229,0.13675214,0.50442576,-2.2399445,927.6229,2020-10-20
1999935,4820430,2,434.5976,686.6229,0.13870575,0.50442576,-2.2399445,927.6229,2020-10-20
1999936,4820434,2,434.5976,686.6229,0.14212455,0.51795524,-2.2205064,927.6229,2020-10-20
1999937,4820438,2,434.5976,687.6225,0.14700855,0.51795524,-2.2205064,928.6225,2020-10-20
1999938,4820443,2,435.59668,687.6225,0.14725275,0.51795524,-2.2205064,928.6225,2020-10-20
1999939,4820446,2,435.59668,687.6225,0.14798535,0.5316931,-2.2021542,928.6225,2020-10-20
1999940,4820451,2,435.59668,687.6225,0.14896215,0.5316931,-2.2021542,928.6225,2020-10-20
1999941,4820455,2,435.59668,687.6225,0.15018316,0.5456233,-2.1848173,928.6225,2020-10-20
1999942,4820459,2,435.59668,687.6225,0.15140416,0.5456233,-2.1848173,928.6225,2020-10-20
1999943,4820463,2,436.59573,687.6225,0.15286936,0.5456233,-2.1848173,928.6225,2020-10-20
1999944,4820468,2,437.59482,687.6225,0.15433456,0.5597318,-2.1684299,928.6225,2020-10-20
1999945,4820472,2,437.59482,688.62213,0.15579976,0.56895727,-2.1929238,929.62213,2020-10-20
1999946,4820476,2,439.59296,688.62213,0.15750916,0.56895727,-2.1929238,929.62213,2020-10-20
1999947,4820480,2,440.59204,688.62213,0.15921856,0.56895727,-2.1929238,929.62213,2020-10-20
1999948,4820484,2,442.5902,689.6217,0.16092797,0.56895727,-2.1929238,930.6217,2020-10-20
1999949,4820488,2,445.58743,690.6213,0.16288157,0.56895727,-2.1929238,931.6213,2020-10-20
1999950,4820492,2,447.58557,691.6209,0.16483517,0.56895727,-2.1929238,932.6209,2020-10-20
1999951,4820496,2,450.5828,691.6209,0.16678877,0.56895727,-2.1929238,932.6209,2020-10-20
1999952,4820501,2,452.58093,692.6205,0.16874237,0.56895727,-2.1929238,933.6205,2020-10-20
1999953,4820505,2,455.5782,693.62006,0.17069598,0.57852095,-2.2164469,934.62006,2020-10-20
1999954,4820509,2,457.57632,694.6197,0.17264958,0.57852095,-2.2164469,935.6197,2020-10-20
1999955,4820513,2,458.5754,695.61926,0.17460318,0.57852095,-2.2164469,936.61926,2020-10-20
1999956,4820518,2,460.57355,695.61926,0.17680098,0.57852095,-2.2164469,936.61926,2020-10-20
1999957,4820522,2,462.5717,696.6189,0.17899878,0.57852095,-2.2164469,937.6189,2020-10-20
1999958,4820526,2,463.57077,696.6189,0.18144079,0.57852095,-2.2164469,937.6189,2020-10-20
1999959,4820530,2,464.56985,697.61847,0.18412699,0.5922276,-2.200409,938.61847,2020-10-20
1999960,4820534,2,465.5689,698.61804,0.18705739,0.60182714,-2.2227826,939.61804,2020-10-20
1999961,4820538,2,466.568,698.61804,0.18998781,0.60182714,-2.2227826,939.61804,2020-10-20
1999962,4820543,2,467.56708,699.6177,0.19316241,0.60182714,-2.2227826,940.6177,2020-10-20
1999963,4820546,2,468.56613,700.61725,0.19633701,0.6154256,-2.207345,941.61725,2020-10-20
1999964,4820551,2,469.56522,700.61725,0.19951162,0.6154256,-2.207345,941.61725,2020-10-20
1999965,4820555,2,469.56522,701.6168,0.20293042,0.62505096,-2.2286603,942.6168,2020-10-20
1999966,4820559,2,470.5643,702.61646,0.20610502,0.62505096,-2.2286603,943.61646,2020-10-20
1999967,4820563,2,470.5643,702.61646,0.20927963,0.6385435,-2.2137938,943.61646,2020-10-20
1999968,4820567,2,471.56335,703.616,0.21245423,0.6385435,-2.2137938,944.616,2020-10-20
1999969,4820572,2,471.56335,703.616,0.21538463,0.6385435,-2.2137938,944.616,2020-10-20
1999970,4820576,2,472.56244,703.616,0.21831504,0.6385435,-2.2137938,944.616,2020-10-20
1999971,4820580,2,472.56244,703.616,0.22124544,0.6481855,-2.234131,944.616,2020-10-20
1999972,4820584,2,472.56244,703.616,0.22393164,0.6481855,-2.234131,944.616,2020-10-20
1999973,4820588,2,472.56244,704.6156,0.22661784,0.66157323,-2.2198074,945.6156,2020-10-20
1999974,4820592,2,473.56152,704.6156,0.22930405,0.66157323,-2.2198074,945.6156,2020-10-20
1999975,4820596,2,473.56152,704.6156,0.23199025,0.66157323,-2.2198074,945.6156,2020-10-20
1999976,4820601,2,473.56152,704.6156,0.23467645,0.66157323,-2.2198074,945.6156,2020-10-20
1999977,4820605,2,473.56152,703.616,0.23711845,0.66157323,-2.2198074,944.616,2020-10-20
1999978,4820609,2,473.56152,703.616,0.23956046,0.66157323,-2.2198074,944.616,2020-10-20
1999979,4820613,2,473.56152,702.61646,0.24200246,0.67511934,-2.2061462,943.61646,2020-10-20
1999980,4820618,2,473.56152,702.61646,0.24420026,0.67511934,-2.2061462,943.61646,2020-10-20
1999981,4820622,2,473.56152,701.6168,0.24639806,0.67511934,-2.2061462,942.6168,2020-10-20
1999982,4820626,2,473.56152,700.61725,0.24835166,0.67511934,-2.2061462,941.61725,2020-10-20
1999983,4820630,2,473.56152,699.6177,0.25030527,0.67511934,-2.2061462,940.6177,2020-10-20
