,time,action,posX,posY,press,tilt,orient,calPosY
0,13217361,0,128.88066,328.76837,0.008791209,0.0,0.0,569.7684
1,13217361,2,128.88066,328.76837,0.008791209,0.0,0.0,569.7684
2,13217365,2,128.88066,328.76837,0.00927961,0.0,0.0,569.7684
3,13217369,2,128.88066,328.76837,0.010744811,0.017452434,-1.5707964,569.7684
4,13217373,2,128.88066,328.76837,0.012210013,0.039023757,-1.1070879,569.7684
5,13217378,2,129.87975,328.76837,0.012210013,0.06292007,-0.98267657,569.7684
6,13217382,2,129.87975,328.76837,0.012454214,0.111699484,-0.8958324,569.7684
7,13217386,2,129.87975,328.76837,0.012698414,0.15001234,-0.94997007,569.7684
8,13217390,2,129.87975,327.7688,0.012942614,0.17432836,-0.926612,568.7688
9,13217394,2,129.87975,327.7688,0.013186814,0.19868848,-0.90896463,568.7688
10,13217398,2,129.87975,327.7688,0.0134310145,0.23688361,-0.94062024,568.7688
11,13217402,2,130.87881,327.7688,0.013675215,0.26110604,-0.92575574,568.7688
12,13217407,2,130.87881,327.7688,0.013919415,0.28533578,-0.9134023,568.7688
13,13217411,2,131.8779,326.76923,0.014163615,0.29926065,-0.9482329,567.7692
14,13217415,2,131.8779,326.76923,0.014407815,0.32334146,-0.9355186,567.7692
15,13217419,2,132.87697,326.76923,0.014407815,0.34741542,-0.9245525,567.7692
16,13217423,2,132.87697,325.7696,0.014407815,0.37147,-0.91499376,566.7696
17,13217428,2,133.87604,325.7696,0.014652016,0.38531247,-0.9415527,566.7696
18,13217432,2,134.87512,324.77002,0.014896216,0.40921712,-0.93174136,565.77
19,13217436,2,134.87512,324.77002,0.015140416,0.43308982,-0.9229979,565.77
20,13217440,2,135.87419,323.77045,0.015384616,0.44695038,-0.9453154,564.77045
21,13217444,2,136.87326,323.77045,0.015628817,0.45692128,-0.9151538,564.77045
22,13217448,2,137.87234,322.7708,0.015873017,0.47066626,-0.9364422,563.7708
23,13217452,2,138.87141,322.7708,0.016361417,0.4846328,-0.9564287,563.7708
24,13217457,2,139.87048,321.77124,0.016849818,0.49433747,-0.92840445,562.77124
25,13217461,2,140.86957,321.77124,0.017338218,0.5081876,-0.9475488,562.77124
26,13217465,2,142.86772,320.77167,0.017826619,0.5081876,-0.9475488,561.77167
27,13217469,2,143.86679,319.77203,0.01831502,0.5316931,-0.93943846,560.77203
28,13217473,2,144.86586,319.77203,0.01880342,0.5316931,-0.93943846,560.77203
29,13217478,2,146.86401,318.77246,0.01953602,0.5456233,-0.9567753,559.77246
30,13217482,2,147.8631,317.7729,0.02026862,0.5456233,-0.9567753,558.7729
31,13217486,2,149.86124,316.77325,0.021001222,0.5551404,-0.93199843,557.77325
32,13217490,2,150.86032,315.77368,0.021733822,0.56895727,-0.94866896,556.7737
33,13217494,2,152.85846,314.7741,0.022466423,0.56895727,-0.94866896,555.7741
34,13217498,2,154.85661,313.77448,0.023199024,0.5829483,-0.964461,554.7745
35,13217502,2,156.85477,312.7749,0.023931626,0.5829483,-0.964461,553.7749
36,13217507,2,158.85292,311.77533,0.024420027,0.5922276,-0.94118375,552.7753
37,13217511,2,161.85014,310.7757,0.024908427,0.60610396,-0.9564066,551.7757
38,13217515,2,163.8483,309.77612,0.025396828,0.60610396,-0.9564066,550.7761
39,13217519,2,166.84552,308.77655,0.025885228,0.60610396,-0.9564066,549.77655
